movieId|title|year|rating_mean
1|Toy Story (1995)|1995|4.023809523809524
2|Jumanji (1995)|1995|3.0833333333333335
3|Grumpier Old Men (1995)|1995|3.5714285714285716
4|Waiting to Exhale (1995)|1995|2.0
5|Father of the Bride Part II (1995)|1995|2.5
6|Heat (1995)|1995|3.7
7|Sabrina (1995)|1995|3.8125
8|Tom and Huck (1995)|1995|3.0
9|Sudden Death (1995)|1995|4.0
10|GoldenEye (1995)|1995|3.35
11|American President, The (1995)|1995|3.9615384615384617
12|Dracula: Dead and Loving It (1995)|1995|
13|Balto (1995)|1995|
14|Nixon (1995)|1995|3.0
15|Cutthroat Island (1995)|1995|3.0
16|Casino (1995)|1995|3.8
17|Sense and Sensibility (1995)|1995|3.6363636363636362
18|Four Rooms (1995)|1995|4.0
19|Ace Ventura: When Nature Calls (1995)|1995|2.8
20|Money Train (1995)|1995|3.5
21|Get Shorty (1995)|1995|3.5416666666666665
22|Copycat (1995)|1995|3.25
23|Assassins (1995)|1995|4.0
24|Powder (1995)|1995|3.25
25|Leaving Las Vegas (1995)|1995|4.0
26|Othello (1995)|1995|
27|Now and Then (1995)|1995|
28|Persuasion (1995)|1995|4.5
29|City of Lost Children, The (Cité des enfants perdus, La) (1995)|1995|3.8333333333333335
30|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|1995|
31|Dangerous Minds (1995)|1995|3.6
32|Twelve Monkeys (a.k.a. 12 Monkeys) (1995)|1995|3.736842105263158
33|Wings of Courage (1995)|1995|
34|Babe (1995)|1995|3.2083333333333335
35|Carrington (1995)|1995|
36|Dead Man Walking (1995)|1995|3.8
37|Across the Sea of Time (1995)|1995|
38|It Takes Two (1995)|1995|
39|Clueless (1995)|1995|3.3461538461538463
40|Cry, the Beloved Country (1995)|1995|
41|Richard III (1995)|1995|4.0
42|Dead Presidents (1995)|1995|3.0
43|Restoration (1995)|1995|5.0
44|Mortal Kombat (1995)|1995|3.0
45|To Die For (1995)|1995|3.7
46|How to Make an American Quilt (1995)|1995|3.0
47|Seven (a.k.a. Se7en) (1995)|1995|4.095238095238095
48|Pocahontas (1995)|1995|4.0
49|When Night Is Falling (1995)|1995|
50|Usual Suspects, The (1995)|1995|4.454545454545454
51|Guardian Angel (1994)|1994|
52|Mighty Aphrodite (1995)|1995|3.6666666666666665
53|Lamerica (1994)|1994|
54|Big Green, The (1995)|1995|
